ba:fb:e4:c5:b0:a5,ba:fb:e4:c4:af:1a,d8:0d:17:2c:67:7f,d8:0d:17:2c:67:7e,24:81:3b:50:c9:e2,54:48:e6:a3:93:23,b4:fb:e4:c5:b0:a5,ba:fb:e4:c5:bd:e3,b4:fb:e4:c4:bd:e3,24:81:3b:2b:99:e1,24:81:3b:2b:99:e2,ba:fb:e4:c4:b0:a5,24:81:3b:2b:99:e0,b4:fb:e4:c5:bd:e3,c4:e9:84:fa:fe:d2,24:81:3b:52:ec:61,24:81:3b:52:ec:62,24:81:3b:2b:99:ee,24:81:3b:2b:99:ef,2c:56:dc:da:3e:90,24:81:3b:52:ec:60,2c:56:dc:da:3e:91,24:81:3b:2b:99:ed,2c:56:dc:da:3e:94,2c:56:dc:da:3e:95,b4:fb:e4:c4:af:1a,b4:fb:e4:c4:b0:a5,ba:fb:e4:c4:bd:e3,24:81:3b:50:c9:e0,1e:e8:29:ee:72:33,54:48:e6:a3:93:22,14:dd:a9:97:a4:f8,ba:fb:e4:c4:d2:73,18:e8:29:ed:72:33,ba:fb:e4:c5:d2:73,24:81:3b:50:c9:e1,18:e8:29:ee:72:33,1e:e8:29:e4:3e:31,1e:e8:29:ed:72:33,32:cd:a7:c1:89:0d,34:60:f9:63:80:30,14:cc:20:2c:3d:42,b4:fb:e4:c4:d2:73,c0:25:5c:a3:84:f1,c0:25:5c:a3:84:f0,c0:25:5c:a3:c8:c0,c0:25:5c:a3:c8:c1,00:08:2f:33:a0:91,00:08:2f:33:a0:90,00:08:2f:33:a0:98,00:08:2f:33:a0:95,00:08:2f:33:a0:94,54:b8:0a:10:f6:42,10:b3:d6:07:cd:41,92:8c:c8:40:47:fb,12:e8:a7:a1:61:95,10:b3:d6:07:cd:42,10:b3:d6:07:cd:40,b4:fb:e4:c5:d2:73,ce:80:59:cd:76:6c,10:b3:d6:07:cd:60,10:b3:d6:07:cd:61,c0:25:5c:a3:c8:c2,14:dd:a9:97:ce:58,1e:e8:29:e4:35:72,c2:56:27:c2:67:83,0e:76:84:a5:21:cd,24:81:3b:50:c9:ef,b4:fb:e4:c5:af:1a,24:81:3b:50:c9:ed,24:81:3b:50:c9:ee,24:81:3b:52:ec:6e,24:81:3b:52:ec:6f,ba:fb:e4:c5:af:1a,24:81:3b:52:ec:6d,10:b3:d6:07:cd:62,b8:d4:bc:21:5b:99,34:60:f9:63:7e:de,x,y,theta
-60.0,,-37,-48.0,-78.0,-82.0,-59.0,-78.0,,-66.0,-67.0,-46.0,-66.0,-78.0,-55.0,,-84.0,-66.0,-66.0,,-84.0,,-66.0,-91.0,-93.0,,-48.0,-70.0,-78.0,,,-81.0,,,,-78.0,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.993492075330485,-2.092802523422456,1.5281850147985303
-61.0,,-32,-33.0,-76.0,,-61.0,-76.0,,,,-57.0,,-76.0,-40.0,,,,,,,,,-89.0,-89.0,,-55.0,,-76.0,,,-82.0,,,,-77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4083308112528226,1.089719803463306,-0.9444438620338051
-77.0,,-63,-66.0,-80.0,,-77.0,-89.0,,-72.0,-72.0,-64.0,-72.0,-89.0,-51.0,-92.0,,-74.0,-74.0,-70.0,-91.0,-68.0,-75.0,-86.0,-86.0,,-66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.554814297962825,4.832782875685478,1.7320681480324631
-75.0,-75.0,-66,-66.0,-80.0,,-75.0,-91.0,-75.0,-66.0,-66.0,-69.0,-65.0,-94.0,-54.0,-92.0,,-77.0,-76.0,,,-66.0,-76.0,-85.0,-84.0,-72.0,-67.0,,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4266824655010713,5.009009971598826,1.7024268042810131
-61.0,,-34,-50.0,,-85.0,-60.0,-78.0,,-55.0,-55.0,-52.0,-55.0,-78.0,-44.0,-89.0,-88.0,-63.0,-64.0,,-87.0,,-63.0,-83.0,-84.0,,-52.0,,-81.0,,,-85.0,-92.0,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.495625333623642,1.189447355689398,4.449460147351544
-74.0,,-58,-63.0,-82.0,,-74.0,-94.0,-77.0,,,,,-94.0,-53.0,,,-71.0,-71.0,-79.0,,-78.0,-71.0,-81.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0201655422938315,6.335672871009273,-0.5625199865053465
-53.0,,-49,-41.0,-81.0,-79.0,-53.0,-73.0,-67.0,-54.0,-55.0,-53.0,-54.0,-73.0,-53.0,-86.0,-86.0,,,,-86.0,-73.0,,-81.0,-81.0,,-56.0,-64.0,-82.0,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7765896844364418,-1.3807130199090514,-0.4074295321406685
-67.0,-69.0,-62,-64.0,,-96.0,-66.0,-85.0,-76.0,-63.0,,-59.0,-62.0,-85.0,-42.0,-93.0,-93.0,,,-56.0,,-60.0,,-69.0,-69.0,-69.0,-61.0,,-78.0,,,,,,,-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.310511294018986,5.78922849123913,-1.0740636607030625
-61.0,,-40,-40.0,-75.0,-91.0,-61.0,-74.0,,-59.0,-54.0,-51.0,-60.0,-74.0,-48.0,,,,,-76.0,,-75.0,,-91.0,-89.0,,-51.0,,,,-73.0,-77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0335487865909473,-0.3239419886575338,3.1902315324854973
-58.0,,-41,-41.0,,-82.0,-58.0,-78.0,,,,-54.0,,-77.0,,,,-59.0,-59.0,,,,-59.0,-94.0,-94.0,,-53.0,,-86.0,,,-80.0,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0269525972166131,0.1153902469725892,3.180239127758336
